DNO_NAME:0 "Рассвет Спортужа"
DNO_DESC:0 "уже несколько лет прошло со времён цыганских войн, и в Дрогобыче всё тихо. но внезапно Богдан, Кирилл, Назар, и Арсен решают создать новое государство сейчас как раз самый разгар выборов."
SPO_DNO_DESC:0 "Богдан, Кирилл, Назар, и Арсен решают создать новое государство сейчас как раз самый разгар выборов."
ANA_DNO_DESC:0 "Тут уже много лет живут анархисты. Они настолько анархисты, что обижаются когда их так называют, и отказываются быть страной. В них раньше входил весь переулок но появился Спортуж."
SAD_DNO_DESC:0 "Ещё с 2015 года у Антона в саду был свой так называемый клан в нём было 2 человека. всё это время они занимались всякой хуйнёй пока не появился спортуж"
OTHER_DNO_DESC:0 "Остальные не играбельные страны"
SPO_tree:0 "Спортужские фокусы"
SPO_uno_elections:0 "Легендарная игра в Уно"
SPO_Nazar_victory:0 "Победил Назар"
SPO_uno_elections_Nazar_tt:0 "§gНазар побеждает выборы§!"
SPO_Kirill_victory:0 "Победил Кирилл"
SPO_uno_elections_Kirill_tt:0 "§RКирилл побеждает выборы§!"
SPO_Bogdan_victory:0 "Победил Богдан"
SPO_uno_elections_Bogdan_tt:0 "§YБогдан побеждает выборы§!"
SPO_build_oven:0 "Построить печь"
SPO_govnotechka_bridge:0 "Мост через Говнотечку"
SPO_stone_development:0 "Освоение камня"
SPO_kirpichka_colony:0 "Колония на Кирпичке"
SPO_Sad_explored:0 "Найти Садовую Республику"
SPO_Bogdan_revolution:0 "Богдановская Революция"
SPO_Bogdan_revolution_tt:0 "§RНачинается Богдановская революция§!\nИзменяет идею «Богдан — Единственный Архитектор» на «Богдана нет».\nЭффект от изменения: §RЗапрещает Строить Постройки§!"
spo.0.t:0 "Легендарная игра в Уно"
spo.0.d:0 "Подходит конец игры, победитель получит пост правителя ново созданной страны. у Кирилла остаётся последняя карта и..."
spo.0.a:0 "У Назара оказывается 3 карты +4"
SPO_Nazar_victory_tt:0 "§gНазар§! побеждает на выборах"
spo.0.b:0 "Он её выкидывает и побеждает"
SPO_Kirill_victory_tt:0 "§RКирилл побеждает на выборах§!"
spo.0.c:0 "Богдан чередой удачных ходов добивается успеха"
SPO_Bogdan_victory_tt:0 "§YБогдан побеждает на выборах§!"
spo.1.t:0 "Богдана назвали §RПИДОРАСОМ§!"
spo.1.d:0 "Богдана оскорбили, он очень сильно обидился, ушёл из всех чатов, и любой разговор сопровождается шквалом ответных оскорблений."
spo.1.a:0 "Заставить Назара извинится"
SPO_without_bogdan_tt:0 "Выполняется фокус «Извинится перед Богданом»"
spo.1.b:0 "Нам и без него хорошо"
SPO_bogdan_sorry_tt:0 "Выполняется фокус «Мы без него справимся»"
SAD_we_are_explored:0 "Мы не одни?"
